year,1,2,3,4,5,6,7,8,9,10,11,12
1927,0.193,0.215,0.396,0.841,0.646,0.394,0.191,0.487,1.481,0.365,0.207,0.178
1928,0.113,0.134,0.208,0.733,3.257,0.79,0.239,0.487,0.131,0.142,0.166,0.139
1929,0.13,0.17,0.255,0.753,2.826,0.946,0.909,1.677,1.991,0.589,0.396,0.227
1930,0.184,0.248,0.277,1.147,0.555,0.498,0.603,1.039,0.507,0.535,0.185,0.153
1931,0.156,0.133,0.445,2.804,4.22,0.654,0.379,0.552,1.49,0.592,0.286,0.268
1932,0.227,0.402,0.532,1.212,2.744,0.677,0.306,0.279,0.249,0.337,0.22,0.148
1933,0.17,0.142,0.166,0.297,0.365,0.425,0.671,0.312,0.157,0.114,0.114,0.134
1934,0.087,0.131,0.211,0.235,0.144,0.047,0.042,0.031,0.043,0.048,0.045,0.053
1935,0.082,0.082,0.117,0.425,3.653,0.875,0.148,0.603,0.208,0.146,0.158,0.141
1936,0.091,0.095,0.141,0.374,0.498,0.184,0.11,0.185,0.379,0.504,0.246,0.131
1937,0.091,0.109,0.239,1.439,1.348,1.439,0.408,0.187,0.274,0.112,0.095,0.086
1938,0.076,0.084,0.079,0.18,0.209,0.146,0.804,0.233,1.569,0.419,0.169,0.147
1939,0.144,0.182,0.668,1.665,0.946,0.183,0.445,0.654,0.396,0.219,0.13,0.093
1940,0.102,0.125,0.538,0.776,0.779,0.223,0.118,0.685,0.261,0.197,0.141,0.26
1941,0.204,0.212,1.198,3.172,10.762,3.144,1.509,2.467,3.993,3.059,1.628,0.515
1942,0.36,0.262,0.32,4.361,2.75,0.81,0.379,0.748,2.75,0.818,0.453,0.306
1943,0.243,0.226,0.354,0.779,0.524,0.142,0.158,0.136,0.073,0.088,0.076,0.098
1944,0.098,0.109,0.213,0.716,1.912,0.583,0.507,0.178,0.091,0.273,0.237,0.168
1945,0.128,0.184,0.329,0.773,1.507,0.323,0.18,1.257,0.433,0.209,0.127,0.098
1946,0.085,0.093,0.187,0.428,0.171,0.052,0.08,0.841,0.94,0.915,0.711,0.43
1947,0.217,0.167,0.254,0.479,0.994,0.162,0.095,0.144,0.106,0.087,0.087,0.094
1948,0.098,0.148,0.484,1.43,1.249,0.793,0.176,0.213,0.08,0.088,0.103,0.095
1949,0.08,0.141,0.365,1.269,1.934,2.271,1.124,0.796,0.243,0.166,0.105,0.08
1950,0.091,0.106,0.097,0.121,0.073,0.075,2.203,1.065,0.22,0.141,0.1,0.087
1951,0.085,0.073,0.075,0.192,0.211,0.064,0.247,0.728,0.103,0.059,0.071,0.089
1952,0.131,0.097,0.149,1.034,1.606,0.541,0.12,0.382,0.245,0.067,0.063,0.134
1953,0.118,0.072,0.097,0.101,0.233,0.123,0.047,0.127,0.061,0.042,0.153,0.101
1954,0.106,0.067,0.082,0.154,0.146,0.047,0.092,0.112,0.047,0.083,0.055,0.039
1955,0.066,0.067,0.067,0.147,1.17,0.337,0.184,1.815,0.337,0.149,0.108,0.108
1956,0.09,0.073,0.082,0.093,0.056,0.021,0.035,0.033,0.011,0.011,0.014,0.023
1957,0.052,0.042,0.101,0.222,0.581,0.286,0.22,3.285,0.654,2.501,1.308,0.603
1958,0.309,0.274,0.937,5.211,5.098,1.354,0.3,0.722,0.937,0.289,0.289,0.201
1959,0.151,0.159,0.184,0.459,1.144,0.524,0.303,0.566,0.224,0.196,0.202,0.158
1960,0.19,0.199,0.892,1.832,1.136,0.858,0.818,0.776,0.278,0.889,0.53,0.245
1961,0.208,0.176,0.496,2.317,2.016,0.725,0.615,4.503,0.952,0.371,0.323,0.25
1962,0.227,0.334,0.27,1.215,0.886,0.231,0.697,0.445,0.133,0.115,0.127,0.127
1963,0.141,0.13,0.295,0.45,0.227,0.153,0.088,0.524,0.629,0.185,0.131,0.113
1964,0.086,0.083,0.111,0.498,0.535,0.172,0.206,0.161,0.087,0.067,0.068,0.089
1965,0.08,0.083,0.112,0.413,0.892,0.569,0.623,1.422,0.28,0.142,0.123,0.131
1966,0.12,0.101,0.187,0.281,0.27,0.125,0.456,2.526,0.377,0.14,0.126,0.101
1967,0.074,0.082,0.095,0.088,0.056,0.054,0.278,2.353,0.892,0.229,0.146,0.101
1968,0.097,0.114,0.402,0.838,1.365,0.538,0.354,0.994,0.233,0.116,0.106,0.098
1969,0.097,0.101,0.125,0.801,1.662,0.453,0.615,0.609,0.906,1.008,0.68,0.317
1970,0.242,0.208,0.213,0.654,0.869,0.323,0.36,0.782,0.277,0.202,0.183,0.15
