    year    jan     feb     mar     apr     may     jun     jul     aug     sep     oct     nov     dec
    1927 -1.6451 -1.5371 -0.9263 -0.1732 -0.4370 -0.9314 -1.6555 -0.7195  0.3927 -1.0079 -1.5750 -1.7260
    1928 -2.1804 -2.0099 -1.5702 -0.3106  1.1808 -0.2357 -1.4313 -0.7195 -2.0326 -1.9519 -1.7958 -1.9733
    1929 -2.0402 -1.7720 -1.3665 -0.2837  1.0389 -0.0555 -0.0954  0.5170  0.6886 -0.5293 -0.9263 -1.4828
    1930 -1.6928 -1.3943 -1.2837  0.1371 -0.5888 -0.6972 -0.5058  0.0383 -0.6792 -0.6255 -1.6874 -1.8773
    1931 -1.8579 -2.0174 -0.8097  1.0310  1.4398 -0.4246 -0.9702 -0.5942  0.3988 -0.5242 -1.2518 -1.3168
    1932 -1.4828 -0.9113 -0.6311  0.1923  1.0094 -0.3901 -1.1842 -1.2765 -1.3903 -1.0877 -1.5141 -1.9105
    1933 -1.7720 -1.9519 -1.7958 -1.2140 -1.0079 -0.8557 -0.3990 -1.1648 -1.8515 -2.1716 -2.1716 -2.0099
    1934 -2.4418 -2.0326 -1.5559 -1.4482 -1.9379 -3.0576 -3.1701 -3.4738 -3.1466 -3.0366 -3.1011 -2.9375
    1935 -2.5010 -2.5010 -2.1456 -0.8557  1.2955 -0.1335 -1.9105 -0.5058 -1.5702 -1.9241 -1.8452 -1.9590
    1936 -2.3969 -2.3539 -1.9590 -0.9835 -0.6972 -1.6928 -2.2073 -1.6874 -0.9702 -0.6852 -1.4024 -2.0326
    1937 -2.3969 -2.2164 -1.4313  0.3639  0.2986  0.3639 -0.8965 -1.6766 -1.2946 -2.1893 -2.3539 -2.4534
    1938 -2.5770 -2.4769 -2.5383 -1.7148 -1.5654 -1.9241 -0.2182 -1.4567  0.4504 -0.8699 -1.7779 -1.9173
    1939 -1.9379 -1.7037 -0.4035  0.5098 -0.0555 -1.6983 -0.8097 -0.4246 -0.9263 -1.5187 -2.0402 -2.3752
    1940 -2.2828 -2.0794 -0.6199 -0.2536 -0.2497 -1.5006 -2.1371 -0.3783 -1.3432 -1.6246 -1.9590 -1.3471
    1941 -1.5896 -1.5512  0.1807  1.1544  2.3760  1.1455  0.4114  0.9030  1.3845  1.1181  0.4874 -0.6636
