year,values
1690,-0.94
1691,-1.591
1692,0.003
1693,-1.044
1694,-0.875
1695,-0.688
1696,-2.08
1697,-0.651
1698,-1.952
1699,-1.168
1700,-1.381
1701,-0.951
1702,-1.855
1703,-0.647
1704,-1.01
1705,-2.403
1706,-0.799
1707,-1.602
1708,-0.492
1709,-1.598
1710,-0.147
1711,-1.207
1712,0.046
1713,-0.431
1714,-1.398
1715,-2.219
1716,-2.208
1717,-1.168
1718,-0.795
1719,-1.513
1720,0.129
1721,0.308
1722,-0.518
1723,-0.791
1724,-0.876
1725,-1.413
1726,-0.461
1727,-1.086
1728,-1.049
1729,-2.364
1730,-1.788
1731,-1.705
1732,-1.124
1733,-2.103
1734,-0.783
1735,-1.775
1736,-1.604
1737,-2.474
1738,-1.721
1739,-2.632
1740,-1.424
1741,-0.807
1742,-1.462
1743,-0.196
1744,-0.614
1745,-0.611
1746,0.32
1747,0.487
1748,-2.52
1749,-0.217
1750,-1.459
1751,0.148
1752,-2.035
1753,-0.444
1754,0.001
1755,-0.926
1756,-1.48
1757,-2.829
1758,-1.158
1759,-0.98
1760,-1.815
1761,-0.254
1762,0.048
1763,-2.082
1764,-0.465
1765,-1.379
1766,-0.478
1767,-0.518
1768,-0.457
1769,-0.364
1770,-0.768
1771,0.153
1772,-1.254
1773,-2.277
1774,-1.443
1775,-1.588
1776,-0.786
1777,-1.358
1778,-1.28
1779,-1.347
1780,-2.239
1781,-1.397
1782,-1.431
1783,-0.452
1784,0.174
1785,-1.136
1786,-1.454
1787,-0.2
1788,-1.295
1789,-2.154
1790,-1.245
1791,-0.513
1792,-0.645
1793,0.086
1794,-1.025
1795,-1.233
1796,-1.572
1797,-1.584
1798,-1.065
1799,-0.86
1800,-0.701
1801,-1.838
1802,-1.217
1803,-0.904
1804,-0.934
1805,-1.516
1806,-1.973
1807,-0.705
1808,-0.922
1809,-1.361
1810,-1.054
1811,-0.73
1812,-1.305
1813,-0.454
1814,-1.303
1815,-0.536
1816,0.291
1817,-1.009
1818,-2.292
1819,-2.318
1820,-1.788
1821,-0.915
1822,-2.762
1823,-1.719
1824,-1.735
1825,-1.323
1826,-1.813
1827,-0.535
1828,-0.55
1829,-0.634
1830,-0.83
1831,-1.525
1832,-1.885
1833,-0.589
1834,-0.283
1835,-1.148
1836,-2.137
1837,-0.763
1838,-0.516
1839,0.115
1840,-0.113
1841,-0.453
1842,-2.569
1843,-1.476
1844,-0.806
1845,-1.053
1846,-0.507
1847,-2.129
1848,-1.741
1849,0.362
1850,-1.059
1851,-2.325
1852,-1.287
1853,-0.964
1854,-0.539
1855,-0.777
1856,-0.401
1857,-0.529
1858,-0.014
1859,-2.079
1860,-1.324
1861,-2.021
1862,-2.328
1863,-1.864
1864,-2.111
1865,-1.309
1866,-0.331
1867,-0.535
1868,-0.127
1869,0.484
1870,-1.781
1871,-1.318
1872,-0.795
1873,-2.446
1874,-1.411
1875,-1.595
1876,-1.12
1877,-0.81
1878,-1.117
1879,-1.176
1880,-2.59
1881,-0.694
1882,-1.165
1883,-1.862
1884,-1.149
1885,-0.503
1886,-1.297
1887,-0.11
1888,-0.643
1889,-1.301
1890,-2.191
1891,-1.021
1892,-1.791
1893,-2.761
1894,-1.562
1895,-1.407
1896,-2.38
1897,-0.339
1898,-0.74
1899,-2.068
1900,-0.877
1901,-0.478
1902,-1.588
1903,-0.604
1904,-3.223
1905,0.09
1906,-0.334
1907,0.368
1908,-0.111
1909,-1.127
1910,-1.938
1911,-0.681
1912,-0.003
1913,-1.106
1914,-0.287
1915,-0.479
1916,0.211
1917,-0.93
1918,-1.69
1919,0.838
1920,0.789
1921,-0.169
1922,-1.656
1923,-1.49
1924,-1.007
1925,-3.182
1926,-0.42
1927,-1.466
1928,-0.66
1929,0.072
1930,-0.695
1931,-0.457
1932,0.946
1933,-0.157
1934,-2.966
1935,-0.201
1936,-1.264
1937,-0.601
1938,-1.777
1939,-0.943
1940,-0.585
1941,0.36
1942,-0.058
1943,-0.761
1944,-0.459
1945,-1.123
1946,-1.668
1947,-1.45
1948,-1.124
1949,-0.3
1950,-1.832
1951,-2.295
1952,-1.836
1953,-2.106
1954,-2.59
1955,-1.553
1956,-2.48
1957,-1.967
1958,-0.552
1959,-0.978
1960,-0.316
1961,-1.399
1962,-0.972
1963,-1.368
1964,-1.717
1965,-1.665
1966,-1.272
1967,-1.547
1968,-0.793
1969,-0.717
1970,-0.884
1971,-2.198
1972,-0.356
