year,value,pw_crns
1690,-0.21,-0.4
1691,-1.113,-1.414
1692,1.325,1.392
1693,-0.116,-0.581
1694,0.043,-0.258
1695,0.429,0.154
1696,-1.798,-2.299
1697,0.165,0.275
1698,-1.549,-1.759
1699,-0.825,-0.833
1700,-1.025,-1.056
1701,-0.122,-0.086
1702,-1.345,-1.504
1703,0.33,0.433
1704,-0.23,-0.498
1705,-2.186,-2.53
1706,0.166,0.392
1707,-0.813,-0.994
1708,0.739,0.704
1709,-1.185,-1.583
1710,1.134,1.173
1711,-0.407,-0.821
1712,1.334,1.159
1713,0.778,0.312
1714,-0.545,-1.142
1715,-1.885,-2.223
1716,-1.932,-1.921
1717,-0.383,-0.079
1718,0.121,0.07
1719,-1.015,-1.304
1720,1.651,1.656
1721,2,1.537
1722,0.613,-0.171
1723,0.097,-0.491
1724,0.112,-0.306
1725,-0.852,-1.245
1726,0.694,0.593
1727,-0.143,-0.517
1728,-0.228,-0.511
1729,-2.283,-2.614
1730,-1.415,-1.256
1731,-1.147,-1.01
1732,-0.359,-0.304
1733,-2.03,-2.279
1734,0.191,0.424
1735,-1.359,-1.529
1736,-1.231,-1.219
1737,-2.69,-2.774
1738,-1.465,-1.111
1739,-2.73,-2.607
1740,-0.726,-0.285
1741,0.217,0.336
1742,-0.946,-1.235
1743,1.299,1.265
1744,0.376,-0.119
1745,0.26,-0.17
1746,1.786,1.4
1747,1.853,1.241
1748,-2.669,-3.733
1749,0.79,0.977
1750,-1.106,-1.459
1751,1.436,1.431
1752,-2.026,-2.684
1753,0.597,0.69
1754,1.396,1.221
1755,-0.272,-0.887
1756,-0.932,-1.336
1757,-2.938,-3.149
1758,-0.248,0.229
1759,-0.2,-0.153
1760,-1.538,-1.783
1761,0.88,1.024
1762,1.276,0.981
1763,-1.892,-2.581
1764,0.43,0.51
1765,-0.716,-0.999
1766,0.589,0.567
1767,0.429,0.093
1768,0.429,0.034
1769,0.607,0.208
1770,-0.009,-0.444
1771,1.442,1.175
1772,-0.662,-1.308
1773,-2.3,-2.705
1774,-1.057,-0.829
1775,-1.323,-1.296
1776,-0.017,0.056
1777,-0.793,-0.96
1778,-0.614,-0.747
1779,-0.837,-0.995
1780,-2.141,-2.243
1781,-0.75,-0.535
1782,-0.858,-0.892
1783,0.832,0.883
1784,1.86,1.552
1785,-0.397,-1.149
1786,-0.845,-1.252
1787,1.374,1.349
1788,-0.438,-1.037
1789,-2.013,-2.417
1790,-0.637,-0.547
1791,0.373,0.429
1792,0.093,-0.218
1793,1.37,1.125
1794,-0.44,-1.052
1795,-0.594,-0.869
1796,-1.351,-1.549
1797,-1.057,-1.064
