"","year","values"
"1",1927,0.4295
"2",1928,1.19325
"3",1929,1.5895
"4",1930,0.67375
"5",1931,1.45125
"6",1932,1.0015
"7",1933,0.44325
"8",1934,0.0660000000000001
"9",1935,1.31975
"10",1936,0.24425
"11",1937,0.8455
"12",1938,0.348
"13",1939,0.557
"14",1940,0.45125
"15",1941,4.4705
"16",1942,1.17175
"17",1943,0.24
"18",1944,0.795
"19",1945,0.81675
"20",1946,0.286
"21",1947,0.34875
"22",1948,0.60775
"23",1949,1.53125
"24",1950,0.854
"25",1951,0.3125
"26",1952,0.66225
"27",1953,0.1325
"28",1954,0.0992500000000001
"29",1955,0.8765
"30",1956,0.03625
"31",1957,1.093
"32",1958,1.8685
"33",1959,0.63425
"34",1960,0.897
"35",1961,1.96475
"36",1962,0.56475
"37",1963,0.248
"38",1964,0.2685
"39",1965,0.8765
"40",1966,0.84425
"41",1967,0.68525
"42",1968,0.81275
"43",1969,0.83475
"44",1970,0.5835
"45",1971,0.38325
"46",1972,0.75475
"47",1973,2.61925
"48",1974,0.151
"49",1975,0.78825
"50",1976,0.30625
"51",1977,0.2875
"52",1978,0.2805
"53",1979,2.3795
"54",1980,0.70325
"55",1981,0.56225
"56",1982,0.47925
"57",1983,1.09025
"58",1984,0.52375
"59",1985,1.5505
"60",1986,0.725
"61",1987,1.31325
